"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 12 00:40:41 GMT 2022","Tue Jul 12 00:41:38 GMT 2022","56408","","JIT-Database-011a-COLUMN-ENUM-default","","JIT-Database-011a-COLUMN-ENUM-default","As a user, I should check the basic validation","As a user, I should check the basic validation",""
"passed","Tue Jul 12 01:19:48 GMT 2022","Tue Jul 12 01:21:05 GMT 2022","77689","","JIT-Database-004-Check-validation-column-definition-type-INTEGER","","JIT-Database-004-Check-validation-column-definition-type-INTEGER","As a user, I should check the validation of INTEGER column definition","As a user, I should check the validation of INTEGER column definition",""
"passed","Tue Jul 12 00:37:53 GMT 2022","Tue Jul 12 00:38:49 GMT 2022","55952","","JIT-Database-001d-TABLE-update","","JIT-Database-001d-TABLE-update","As a user, I can update the value of the table","As a user, I can update the value of the table",""
"passed","Tue Jul 12 01:19:47 GMT 2022","Tue Jul 12 01:20:26 GMT 2022","39043","","JIT-Module-015a-SCOUT-default","","JIT-Module-015a-SCOUT-default","[SCOUT] As a user, I can add module Scout and remove it","[SCOUT] As a user, I can add module Scout and remove it",""
"passed","Tue Jul 12 00:39:03 GMT 2022","Tue Jul 12 00:40:12 GMT 2022","68348","","JIT-Database-009-Check-validation-column-definition-type-BOOLEAN","","JIT-Database-009-Check-validation-column-definition-type-BOOLEAN","As a user, I should check the validation of BOOLEAN column definition","As a user, I should check the validation of BOOLEAN column definition",""
"passed","Tue Jul 12 01:12:02 GMT 2022","Tue Jul 12 01:13:24 GMT 2022","82168","","JIT-Database-015i-INDEX-DATETIMETIME-column-config","","JIT-Database-015i-INDEX-DATETIMETIME-column-config","[INDEX-DATETIME] As a user, I config index from column setting && check on index popup","[INDEX-DATETIME] As a user, I config index from column setting && check on index popup",""
"passed","Tue Jul 12 00:52:40 GMT 2022","Tue Jul 12 00:54:00 GMT 2022","79193","","JIT-Module-006a-SMS-default","","JIT-Module-006a-SMS-default","[SMS], I can add module SMS login with Twilio and remove it","[SMS], I can add module SMS login with Twilio and remove it",""
"passed","Tue Jul 12 01:29:28 GMT 2022","Tue Jul 12 01:30:42 GMT 2022","74706","","JIT-Database-015l-INDEX-ENUM-column-config","","JIT-Database-015l-INDEX-ENUM-column-config","[INDEX-ENUM] As a user, I config index from column setting && check on index popup","[INDEX-ENUM] As a user, I config index from column setting && check on index popup",""
"passed","Tue Jul 12 01:02:58 GMT 2022","Tue Jul 12 01:03:51 GMT 2022","53526","","JIT-API-004b-GET-detail-update-info","","JIT-API-004b-GET-detail-update-info","As a user, I update info for GET-detail","As a user, I update info for GET-detail",""
"passed","Tue Jul 12 00:35:24 GMT 2022","Tue Jul 12 00:36:40 GMT 2022","75973","","JIT-Dashboard-005c-UPDATEOF-saving","","JIT-Dashboard-005c-UPDATEOF-saving","[UPDATE-OF] As a user, I should save the selected option when switching between tables","[UPDATE-OF] As a user, I should save the selected option when switching between tables",""
"passed","Tue Jul 12 00:53:20 GMT 2022","Tue Jul 12 00:55:32 GMT 2022","132841","","JIT-Module-007a-APPLE-LOGIN-default-edit","","JIT-Module-007a-APPLE-LOGIN-default-edit","[APPLE-LOGIN], I can add module Apple Login and edit its infos","[APPLE-LOGIN], I can add module Apple Login and edit its infos",""
