"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","JIT-Web-011d-SETTING-PROJECT-VARIABLE-CSS-Check-deleting-PV","","0","0","1","0","0"
"","JIT-Database-001a-TABLE-new","","0","0","1","0","0"
"","JIT-Database-015k-INDEX-BOOLEAN-column-config","","0","0","1","0","0"
"","JIT-Mobile-012-JITDEF-remove-poperty-info-after-deleting-navigation","","0","0","1","0","0"
"","JIT-Web-002e-MOLECULE-Search","","0","0","1","0","0"
"","JIT-Module-002b-DEEPLINK-edit-infos","","0","1","0","0","0"
"","JIT-Mobile-041b-PREVIEW-NAVIGATION-with-navigation-setup","","0","0","1","0","0"
"","JIT-Module-005b-FORCE-MOBILE-UPDATE-api","","0","0","1","0","0"
"","JIT-Database-015e-INDEX-TEXT-column-config","","0","0","1","0","0"
"","JIT-Mobile-014-JITDEF-status-bar","","0","0","1","0","0"
"","JIT-Mobile-005-MOLECULE-Create-new","","0","0","1","0","0"
"","JIT-Web-001h01-PAGE-DEFECT-Create-page-slug-contains-another-page","","1","0","0","0","0"
"","JIT-Database-017a-COLUMN-TEXT-STRING-Validation-message","","0","0","2","0","0"
"","JIT-API-007a-GROUP-API-CRUD","","0","0","1","0","0"
"","JIT-Mobile-026b-BUTTON-General-info","","0","0","1","0","0"
"","JIT-Web-012b-LOCALIZATION-Generate-code","","0","0","1","0","0"
"","JIT-API-011-UPDATE-toggle-on-API","","0","0","1","0","0"
"","JIT-Mobile-022a-TEXT-General-info","","0","0","1","0","0"
"","JIT-API-007e-PUT-API-Add-new-endpoint","","0","0","1","0","0"
"","JIT-Module-017b-GOOGLE-ANAL-edit-infos","","0","1","0","0","0"
"","JIT-Database-006-COLUMN-type-STRING","","0","0","1","0","0"
"","JIT-API-007ba-GET-list-API-Add-new-endpoint","","0","0","1","0","0"
"","JIT-Preview-007-Preview-TABLE","","0","1","0","0","0"
"","JIT-Web-011e-SETTING-PROJECT-VARIABLE-CSS-Check-remove-variable","","0","0","1","0","0"
"","JIT-Database-004-COLUMN-type-INTEGER","","0","0","1","0","0"
"","JIT-API-004c-GET-detail-relation","","0","0","1","0","0"
"","JIT-Database-015f-INDEX-INTEGER-column-config","","0","0","1","0","0"
"","JIT-Database-011b-COLUMN-ENUM-add-items","","0","0","1","0","0"
"","JIT-API-001-Check-general-info","","0","0","1","0","0"
"","JIT-Web-009a-TABLE-Add-new","","0","0","1","0","0"
"","JIT-API-003c-POST-relation","","0","0","1","0","0"
"","JIT-Database-001e-TABLE-create-by-context-menu","","0","0","1","0","0"
"","JIT-Database-017e-COLUMN-ENUM-Validation-message","","0","0","1","0","0"
"","JIT-Preview-010-Preview-LOCALIZATION","","0","1","0","0","0"
"","JIT-Database-003b-COLUMN-duplicated","","0","0","1","0","0"
"","JIT-Database-012e-RELATION-trigger-by-button","","0","0","1","0","0"
"","JIT-Database-017b-COLUMN-INT-FLOAT-Validation-message","","0","0","2","0","0"
"","JIT-Database-015g-INDEX-FLOAT-column-config","","0","0","1","0","0"
"","JIT-Database-003a-COLUMN-empty","","0","0","1","0","0"
"","JIT-Preview-008-Preview-TEXT-HTML-TAG","","0","1","0","0","0"
"","JIT-Database-011d-COLUMN-ENUM-delete-selected-items","","0","0","1","0","0"
