"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 27 18:39:18 GMT 2022","Tue Sep 27 18:41:10 GMT 2022","112381","","JIT-Mobile-022a-TEXT-General-info","","JIT-Mobile-022a-TEXT-General-info","[MOBILE-TEXT] As a user, I should check the general infomation of Text is correct: Name, Key, unique key, delete component","[MOBILE-TEXT] As a user, I should check the general infomation of Text is correct: Name, Key, unique key, delete component",""
"passed","Tue Sep 27 18:20:45 GMT 2022","Tue Sep 27 18:22:03 GMT 2022","77918","","JIT-Dashboard-003d-DETAILOF-delete-table","","JIT-Dashboard-003d-DETAILOF-delete-table","[DEATIL-OF] As a user, I should see the table is not displayed in dashboard list after removed","[DEATIL-OF] As a user, I should see the table is not displayed in dashboard list after removed",""
"passed","Tue Sep 27 18:58:29 GMT 2022","Tue Sep 27 18:59:39 GMT 2022","69619","","JIT-Web-002c-MOLECULE-Delete","","JIT-Web-002c-MOLECULE-Delete","[WEB-MOLECULE] As a user, I can delete molecule","[WEB-MOLECULE] As a user, I can delete molecule",""
"passed","Tue Sep 27 18:40:03 GMT 2022","Tue Sep 27 18:42:27 GMT 2022","144524","","JIT-Mobile-028a-ICON-Check-PreviewCode","","JIT-Mobile-028a-ICON-Check-PreviewCode","[MOBILE-ICON] As a user, I should check the Preview code of Icon component","[MOBILE-ICON] As a user, I should check the Preview code of Icon component",""
"broken","Tue Sep 27 20:58:02 GMT 2022","Tue Sep 27 21:08:23 GMT 2022","620954","","JIT-Export-008-Existing-Scenario-ROR-nokey-Jump-team","","JIT-Export-008-Existing-Scenario-ROR-nokey-Jump-team","[JUMP-TEAM] Existing project - No key","[JUMP-TEAM] Existing project - No key",""
"passed","Tue Sep 27 18:23:11 GMT 2022","Tue Sep 27 18:24:28 GMT 2022","77142","","JIT-Dashboard-006a-DELETEOF-default","","JIT-Dashboard-006a-DELETEOF-default","[DELETE-OF] As a user, I should add default column in dashboard params","[DELETE-OF] As a user, I should add default column in dashboard params",""
"passed","Tue Sep 27 18:30:42 GMT 2022","Tue Sep 27 18:31:37 GMT 2022","54144","","JIT-Database-012b-RELATION-empty-duplicate","","JIT-Database-012b-RELATION-empty-duplicate","[RELATION], I should see the error duplicate when leaving foreign key empty","[RELATION], I should see the error duplicate when leaving foreign key empty",""
"passed","Tue Sep 27 18:24:54 GMT 2022","Tue Sep 27 18:25:51 GMT 2022","56898","","JIT-Database-001a-TABLE-new","","JIT-Database-001a-TABLE-new","[TABLE] As a user, I can create new table","[TABLE] As a user, I can create new table",""
"passed","Tue Sep 27 19:57:04 GMT 2022","Tue Sep 27 19:57:39 GMT 2022","35415","","JIT-Mobile-005-MOLECULE-Create-new","","JIT-Mobile-005-MOLECULE-Create-new","[MOBILE-MOLECULE] As a user, I can create new molecule with positive and negative cases","[MOBILE-MOLECULE] As a user, I can create new molecule with positive and negative cases",""
"passed","Tue Sep 27 18:54:18 GMT 2022","Tue Sep 27 18:55:35 GMT 2022","76720","","JIT-Module-016b-SENDGRID-edit-infos","","JIT-Module-016b-SENDGRID-edit-infos","[SENDGRID] As a user, I can update module SendGrid","[SENDGRID] As a user, I can update module SendGrid",""
