"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","JIT-Export-005a-Scenario-RN-login-screen","","0","0","1","0","0"
"","JIT-Export-005b-Scenario-RN-all-default-component","","0","0","1","0","0"
"","JIT-Export-010b-Export-RN-TODO","","0","0","1","0","0"
"","JIT-Export-006-Existing-Scenario-ROR-nokey","","0","0","1","0","0"
"","JIT-Export-010c-Export-NextJS-TODO","","0","0","1","0","0"
"","JIT-Export-003-Scenario_ROR_2","","0","0","1","0","0"
"","JIT-Export-002-Scenario-ROR-withkey-1","","0","1","0","0","0"
"","JIT-Export-010a-Export-RoR-TODO","","0","0","1","0","0"
"","JIT-Export-007-Existing-Scenario-ROR-withkey","","0","0","1","0","0"
"","JIT-Export-001-Scenario_ROR_1","","0","0","1","0","0"
"","JIT-Export-004-Scenario_ROR_2","","0","1","0","0","0"
