"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Apr 20 18:15:12 GMT 2022","Wed Apr 20 18:16:00 GMT 2022","48125","","JIT-Dashboard-002-Validation-list-of","","JIT-Dashboard-002-Validation-list-of","[LIST-OF] As a user, I should see the table is not displayed in dashboard list after removed","[LIST-OF] As a user, I should see the table is not displayed in dashboard list after removed",""
"broken","Wed Apr 20 18:17:44 GMT 2022","Wed Apr 20 18:18:33 GMT 2022","49360","","JIT-Dashboard-005-Validation-update-of","","JIT-Dashboard-005-Validation-update-of","[UPDATE-OF] As a user, I should add new column in dashboard params","[UPDATE-OF] As a user, I should add new column in dashboard params",""
"broken","Wed Apr 20 18:12:39 GMT 2022","Wed Apr 20 18:13:35 GMT 2022","55710","","JIT-Dashboard-003-Validation-detail-of","","JIT-Dashboard-003-Validation-detail-of","[DEATIL-OF] As a user, I should add default column in dashboard params","[DEATIL-OF] As a user, I should add default column in dashboard params",""
"broken","Wed Apr 20 18:21:55 GMT 2022","Wed Apr 20 18:22:44 GMT 2022","48834","","JIT-Database-003-Check-create-empty-and-duplicated-column","","JIT-Database-003-Check-create-empty-and-duplicated-column","As a user, I cannot add duplicated column definition","As a user, I cannot add duplicated column definition",""
"broken","Wed Apr 20 18:12:39 GMT 2022","Wed Apr 20 18:13:34 GMT 2022","55244","","JIT-Dashboard-001-Check-general-info","","JIT-Dashboard-001-Check-general-info","As a user, I check general info and update table name","As a user, I check general info and update table name",""
"broken","Wed Apr 20 18:27:17 GMT 2022","Wed Apr 20 18:28:05 GMT 2022","48477","","JIT-Mobile-004-Screen-duplicate-screen","","JIT-Mobile-004-Screen-duplicate-screen","As a user, I can duplicate screen with positive and negative cases","As a user, I can duplicate screen with positive and negative cases",""
"broken","Wed Apr 20 18:23:51 GMT 2022","Wed Apr 20 18:24:39 GMT 2022","48217","","JIT-Database-011-Check-validation-column-definition-type-ENUM","","JIT-Database-011-Check-validation-column-definition-type-ENUM","As a user, I should check the basic validation","As a user, I should check the basic validation",""
"broken","Wed Apr 20 18:21:09 GMT 2022","Wed Apr 20 18:21:57 GMT 2022","48306","","JIT-Database-004-Check-validation-column-definition-type-INTEGER","","JIT-Database-004-Check-validation-column-definition-type-INTEGER","As a user, I should check the validation of INTEGER column definition","As a user, I should check the validation of INTEGER column definition",""
"broken","Wed Apr 20 18:25:17 GMT 2022","Wed Apr 20 18:26:05 GMT 2022","48316","","JIT-Database-012-Check-validation-relation","","JIT-Database-012-Check-validation-relation","As a user, I should see the error duplicate when leaving foreign key empty","As a user, I should see the error duplicate when leaving foreign key empty",""
"broken","Wed Apr 20 18:22:03 GMT 2022","Wed Apr 20 18:22:52 GMT 2022","48520","","JIT-Database-007-Check-validation-column-definition-type-TEXT","","JIT-Database-007-Check-validation-column-definition-type-TEXT","As a user, I should check the validation of TEXT column definition","As a user, I should check the validation of TEXT column definition",""
"broken","Wed Apr 20 18:25:28 GMT 2022","Wed Apr 20 18:26:17 GMT 2022","48720","","JIT-Database-011-Check-validation-column-definition-type-ENUM","","JIT-Database-011-Check-validation-column-definition-type-ENUM","As a user, I should delete 1 item and check not display in default dropdown","As a user, I should delete 1 item and check not display in default dropdown",""
"broken","Wed Apr 20 18:18:33 GMT 2022","Wed Apr 20 18:19:22 GMT 2022","48236","","JIT-Dashboard-005-Validation-update-of","","JIT-Dashboard-005-Validation-update-of","[UPDATE-OF] As a user, I should save the selected option when switching between tables","[UPDATE-OF] As a user, I should save the selected option when switching between tables",""
"broken","Wed Apr 20 18:24:39 GMT 2022","Wed Apr 20 18:25:28 GMT 2022","49390","","JIT-Database-011-Check-validation-column-definition-type-ENUM","","JIT-Database-011-Check-validation-column-definition-type-ENUM","As a user, I should add new item and select in default dropdown","As a user, I should add new item and select in default dropdown",""
"broken","Wed Apr 20 18:19:22 GMT 2022","Wed Apr 20 18:20:10 GMT 2022","48387","","JIT-Dashboard-005-Validation-update-of","","JIT-Dashboard-005-Validation-update-of","[UPDATE-OF] As a user, I should see the table is not displayed in dashboard list after removed","[UPDATE-OF] As a user, I should see the table is not displayed in dashboard list after removed",""
"broken","Wed Apr 20 18:13:35 GMT 2022","Wed Apr 20 18:14:24 GMT 2022","49662","","JIT-Dashboard-002-Validation-list-of","","JIT-Dashboard-002-Validation-list-of","[LIST-OF] As a user, I should add new column in dashboard params","[LIST-OF] As a user, I should add new column in dashboard params",""
"broken","Wed Apr 20 18:22:58 GMT 2022","Wed Apr 20 18:23:46 GMT 2022","48587","","JIT-Database-010-Check-validation-column-definition-type-FILE","","JIT-Database-010-Check-validation-column-definition-type-FILE","As a user, I should check the validation of FILE column definition","As a user, I should check the validation of FILE column definition",""
"broken","Wed Apr 20 18:29:40 GMT 2022","Wed Apr 20 18:30:30 GMT 2022","49396","","JIT-Mobile-012-JITDEF-remove-poperty-info-after-deleting-navigation","","JIT-Mobile-012-JITDEF-remove-poperty-info-after-deleting-navigation","As a user, I should see the property infos need to be removed after the navigation was deleted","As a user, I should see the property infos need to be removed after the navigation was deleted",""
"broken","Wed Apr 20 18:22:47 GMT 2022","Wed Apr 20 18:23:36 GMT 2022","48488","","JIT-Database-008-Check-validation-column-definition-type-DATE-TIME","","JIT-Database-008-Check-validation-column-definition-type-DATE-TIME","As a user, I should check the validation of DATETIME column definition","As a user, I should check the validation of DATETIME column definition",""
"broken","Wed Apr 20 18:15:12 GMT 2022","Wed Apr 20 18:16:00 GMT 2022","48144","","JIT-Dashboard-003-Validation-detail-of","","JIT-Dashboard-003-Validation-detail-of","[DEATIL-OF] As a user, I should see the table is not displayed in dashboard list after removed","[DEATIL-OF] As a user, I should see the table is not displayed in dashboard list after removed",""
"broken","Wed Apr 20 18:16:00 GMT 2022","Wed Apr 20 18:16:48 GMT 2022","48159","","JIT-Dashboard-003-Validation-detail-of","","JIT-Dashboard-003-Validation-detail-of","[DEATIL-OF] As a user, I should see the params will be removed when column is deleted","[DEATIL-OF] As a user, I should see the params will be removed when column is deleted",""
"broken","Wed Apr 20 18:16:05 GMT 2022","Wed Apr 20 18:16:53 GMT 2022","48188","","JIT-Dashboard-004-Validation-create-of","","JIT-Dashboard-004-Validation-create-of","[CREATE-OF] As a user, I should see the table is not displayed in dashboard list after removed","[CREATE-OF] As a user, I should see the table is not displayed in dashboard list after removed",""
"broken","Wed Apr 20 18:22:57 GMT 2022","Wed Apr 20 18:23:46 GMT 2022","49058","","JIT-Database-009-Check-validation-column-definition-type-BOOLEAN","","JIT-Database-009-Check-validation-column-definition-type-BOOLEAN","As a user, I should check the validation of BOOLEAN column definition","As a user, I should check the validation of BOOLEAN column definition",""
"broken","Wed Apr 20 18:17:47 GMT 2022","Wed Apr 20 18:18:36 GMT 2022","48659","","JIT-Database-001-Create-new-table","","JIT-Database-001-Create-new-table","As a user, I can create new table","As a user, I can create new table",""
